observation_date,ADJRESSL
1918-01-01,1.290
1918-04-01,1.291
1918-07-01,1.207
1918-10-01,1.357
1919-01-01,1.345
1919-04-01,1.415
1919-07-01,1.448
1919-10-01,1.510
1920-01-01,1.476
1920-04-01,1.507
1920-07-01,1.497
1920-10-01,1.502
1921-01-01,1.396
1921-04-01,1.350
1921-07-01,1.314
1921-10-01,1.336
1922-01-01,1.290
1922-04-01,1.373
1922-07-01,1.401
1922-10-01,1.444
1923-01-01,1.423
1923-04-01,1.426
1923-07-01,1.448
1923-10-01,1.471
1924-01-01,1.437
1924-04-01,1.523
1924-07-01,1.632
1924-10-01,1.685
1925-01-01,1.579
1925-04-01,1.628
1925-07-01,1.671
1925-10-01,1.717
1926-01-01,1.617
1926-04-01,1.685
1926-07-01,1.715
1926-10-01,1.714
1927-01-01,1.607
1927-04-01,1.722
1927-07-01,1.774
1927-10-01,1.813
1928-01-01,1.715
1928-04-01,1.768
1928-07-01,1.728
1928-10-01,1.774
1929-01-01,1.671
1929-04-01,1.698
1929-07-01,1.758
1929-10-01,1.819
1930-01-01,1.643
1930-04-01,1.748
1930-07-01,1.741
1930-10-01,1.743
1931-01-01,1.653
1931-04-01,1.726
1931-07-01,1.700
1931-10-01,1.617
1932-01-01,1.371
1932-04-01,1.456
1932-07-01,1.483
1932-10-01,1.641
1933-01-01,1.598
1933-04-01,1.568
1933-07-01,1.662
1933-10-01,1.862
1934-01-01,2.226
1934-04-01,2.612
1934-07-01,2.762
1934-10-01,2.889
1935-01-01,3.062
1935-04-01,3.237
1935-07-01,3.526
1935-10-01,3.873
1936-01-01,3.824
1936-04-01,3.729
1936-07-01,3.739
1936-10-01,3.655
1937-01-01,3.441
1937-04-01,2.960
1937-07-01,2.785
1937-10-01,2.944
1938-01-01,3.068
1938-04-01,3.734
1938-07-01,4.114
1938-10-01,4.448
1939-01-01,4.484
1939-04-01,4.982
1939-07-01,5.483
1939-10-01,6.019
1940-01-01,6.188
1940-04-01,6.699
1940-07-01,6.990
1940-10-01,7.268
1941-01-01,7.097
1941-04-01,6.717
1941-07-01,6.481
1941-10-01,5.942
1942-01-01,5.531
1942-04-01,5.189
1942-07-01,5.044
1942-10-01,5.592
1943-01-01,5.604
1943-04-01,5.229
1943-07-01,5.269
1943-10-01,5.244
1944-01-01,5.239
1944-04-01,5.246
1944-07-01,5.328
1944-10-01,5.836
1945-01-01,5.747
1945-04-01,5.986
1945-07-01,6.085
1945-10-01,6.707
1946-01-01,6.437
1946-04-01,6.242
1946-07-01,6.555
1946-10-01,6.927
1947-01-01,6.591
1947-04-01,6.498
1947-07-01,6.721
1947-10-01,6.999
1948-01-01,6.881
1948-04-01,6.691
1948-07-01,6.860
1948-10-01,6.931
1949-01-01,6.837
1949-04-01,6.655
1949-07-01,6.900
1949-10-01,6.998
1950-01-01,6.942
1950-04-01,7.012
1950-07-01,7.093
1950-10-01,7.238
1951-01-01,7.324
1951-04-01,7.519
1951-07-01,7.467
1951-10-01,7.621
1952-01-01,7.774
1952-04-01,7.740
1952-07-01,7.836
1952-10-01,7.898
1953-01-01,7.881
1953-04-01,7.852
1953-07-01,7.961
1953-10-01,7.990
1954-01-01,8.047
1954-04-01,8.107
1954-07-01,8.191
1954-10-01,8.362
1955-01-01,8.339
1955-04-01,8.358
1955-07-01,8.320
1955-10-01,8.329
1956-01-01,8.372
1956-04-01,8.426
1956-07-01,8.402
1956-10-01,8.467
1957-01-01,8.454
1957-04-01,8.461
1957-07-01,8.461
1957-10-01,8.441
1958-01-01,8.559
1958-04-01,8.809
1958-07-01,8.889
1958-10-01,8.867
1959-01-01,8.997
1959-04-01,9.054
1959-07-01,9.028
1959-10-01,9.062
1960-01-01,9.006
1960-04-01,8.999
1960-07-01,9.189
1960-10-01,9.339
1961-01-01,9.475
1961-04-01,9.518
1961-07-01,9.618
1961-10-01,9.805
1962-01-01,9.860
1962-04-01,9.981
1962-07-01,10.058
1962-10-01,10.218
1963-01-01,10.288
1963-04-01,10.403
1963-07-01,10.508
1963-10-01,10.641
1964-01-01,10.764
1964-04-01,10.852
1964-07-01,11.036
1964-10-01,11.239
1965-01-01,11.396
1965-04-01,11.572
1965-07-01,11.685
1965-10-01,11.879
1966-01-01,12.042
1966-04-01,12.230
1966-07-01,12.295
1966-10-01,12.283
1967-01-01,12.546
1967-04-01,12.762
1967-07-01,13.056
1967-10-01,13.336
1968-01-01,13.474
1968-04-01,13.638
1968-07-01,13.855
1968-10-01,14.080
1969-01-01,14.221
1969-04-01,14.226
1969-07-01,14.129
1969-10-01,14.243
1970-01-01,14.314
1970-04-01,14.501
1970-07-01,14.857
1970-10-01,15.273
1971-01-01,15.692
1971-04-01,15.997
1971-07-01,16.336
1971-10-01,16.532
1972-01-01,16.928
1972-04-01,17.317
1972-07-01,17.661
1972-10-01,17.997
1973-01-01,18.601
1973-04-01,18.915
1973-07-01,19.411
1973-10-01,19.643
1974-01-01,19.972
1974-04-01,20.547
1974-07-01,20.898
1974-10-01,21.130
1975-01-01,21.089
1975-04-01,21.303
1975-07-01,21.251
1975-10-01,21.360
1976-01-01,21.246
1976-04-01,21.498
1976-07-01,21.510
1976-10-01,21.755
1977-01-01,22.040
1977-04-01,22.387
1977-07-01,22.834
1977-10-01,23.142
1978-01-01,23.664
1978-04-01,24.225
1978-07-01,24.699
1978-10-01,24.814
1979-01-01,24.704
1979-04-01,24.812
1979-07-01,25.125
1979-10-01,25.720
1980-01-01,26.077
1980-04-01,26.190
1980-07-01,26.654
1980-10-01,26.708
1981-01-01,26.234
1981-04-01,26.737
1981-07-01,27.038
1981-10-01,27.341
1982-01-01,27.956
1982-04-01,27.957
1982-07-01,28.315
1982-10-01,30.103
1983-01-01,31.049
1983-04-01,32.477
1983-07-01,33.387
1983-10-01,34.142
1984-01-01,35.319
1984-04-01,36.218
1984-07-01,36.023
1984-10-01,36.356
1985-01-01,37.486
1985-04-01,38.445
1985-07-01,40.213
1985-10-01,41.958
1986-01-01,42.584
1986-04-01,44.726
1986-07-01,47.275
1986-10-01,50.075
1987-01-01,52.341
1987-04-01,53.202
1987-07-01,52.406
1987-10-01,52.854
1988-01-01,52.742
1988-04-01,53.724
1988-07-01,54.489
1988-10-01,54.583
1989-01-01,53.851
1989-04-01,53.348
1989-07-01,53.455
1989-10-01,54.633
1990-01-01,54.582
1990-04-01,55.230
1990-07-01,55.396
1990-10-01,56.454
1991-01-01,56.451
1991-04-01,58.445
1991-07-01,59.877
1991-10-01,61.927
1992-01-01,64.254
1992-04-01,67.749
1992-07-01,69.731
1992-10-01,73.654
1993-01-01,74.591
1993-04-01,77.118
1993-07-01,79.729
1993-10-01,83.724
1994-01-01,84.591
1994-04-01,84.306
1994-07-01,83.372
1994-10-01,82.123
1995-01-01,80.666
1995-04-01,81.104
1995-07-01,82.209
1995-10-01,82.879
1996-01-01,84.401
1996-04-01,84.949
1996-07-01,84.892
1996-10-01,84.637
1997-01-01,84.716
1997-04-01,84.187
1997-07-01,84.701
1997-10-01,85.252
1998-01-01,85.362
1998-04-01,85.110
1998-07-01,82.622
1998-10-01,83.147
1999-01-01,84.796
1999-04-01,84.798
1999-07-01,84.385
1999-10-01,100.678
2000-01-01,86.488
2000-04-01,83.776
2000-07-01,83.568
2000-10-01,83.449
2001-01-01,82.201
2001-04-01,82.980
2001-07-01,91.171
2001-10-01,88.070
2002-01-01,88.333
2002-04-01,87.157
2002-07-01,86.945
2002-10-01,90.131
2003-01-01,91.264
2003-04-01,92.155
2003-07-01,95.205
2003-10-01,94.744
2004-01-01,95.102
2004-04-01,96.694
2004-07-01,97.046
2004-10-01,95.708
2005-01-01,96.775
2005-04-01,96.006
2005-07-01,96.939
2005-10-01,96.285
2006-01-01,96.292
2006-04-01,94.949
2006-07-01,94.697
2006-10-01,93.082
2007-01-01,93.951
2007-04-01,93.382
2007-07-01,95.251
2007-10-01,93.401
2008-01-01,96.033
2008-04-01,94.974
2008-07-01,118.395
2008-10-01,620.192
2009-01-01,820.282
2009-04-01,916.612
2009-07-01,895.028
2009-10-01,1145.603
2010-01-01,1216.684
2010-04-01,1158.071
2010-07-01,1117.615
2010-10-01,1082.697
2011-01-01,1310.203
2011-04-01,1647.314
2011-07-01,1713.640
2011-10-01,1635.359
2012-01-01,1662.729
2012-04-01,1616.052
2012-07-01,1601.535
2012-10-01,1568.571
2013-01-01,1760.350
2013-04-01,2025.972
2013-07-01,2287.650
2013-10-01,2506.617
2014-01-01,2659.033
2014-04-01,2762.044
2014-07-01,2851.043
2014-10-01,2677.109
2015-01-01,2705.643
2015-04-01,2721.009
2015-07-01,2718.779
2015-10-01,2639.379
2016-01-01,2511.299
2016-04-01,2506.663
2016-07-01,2411.862
2016-10-01,2168.076
2017-01-01,2311.273
2017-04-01,2355.061
2017-07-01,2391.137
2017-10-01,2347.811
2018-01-01,2299.655
2018-04-01,2145.103
2018-07-01,2013.235
2018-10-01,1850.754
2019-01-01,1740.107
2019-04-01,1643.761
2019-07-01,1590.664
2019-10-01,
